Data Training;;
Month;Milk Production;Prediction
01/01/1949 01:00;112;NaN
01/02/1949 01:00;118;NaN
01/03/1949 01:00;132;NaN
01/04/1949 01:00;129;NaN
01/05/1949 01:00;121;NaN
01/06/1949 01:00;135;NaN
01/07/1949 01:00;148;123,5
01/08/1949 01:00;148;133
01/09/1949 01:00;136;140
01/10/1949 01:00;119;132,5
01/11/1949 01:00;104;120
01/12/1949 01:00;118;119,5
01/01/1950 01:00;115;133
01/02/1950 01:00;126;131,5
01/03/1950 01:00;141;131
01/04/1950 01:00;135;130
01/05/1950 01:00;125;119,5
01/06/1950 01:00;149;121,5
01/07/1950 01:00;170;132
01/08/1950 01:00;170;148
01/09/1950 01:00;158;155,5
01/10/1950 01:00;133;146,5
01/11/1950 01:00;114;129
01/12/1950 01:00;140;131,5
01/01/1951 01:00;145;155
01/02/1951 01:00;150;157,5
01/03/1951 01:00;178;154
01/04/1951 01:00;163;155,5
01/05/1951 01:00;172;138,5
01/06/1951 01:00;178;156
01/07/1951 01:00;199;161,5
01/08/1951 01:00;199;174,5
01/09/1951 01:00;184;188,5
01/10/1951 01:00;162;173,5
01/11/1951 01:00;146;167
